question,answer
Can you tell me library hours?,The library is open 8 AM – 10 PM (Mon–Fri) and 9 AM – 6 PM (Sat–Sun).
when does the library open?,The library opens at 8 AM on weekdays and 9 AM on weekends.
when does the library close,The library closes at 10 PM on weekdays and 6 PM on weekends.
Can you tell me admission deadline?,The admission deadline for the upcoming semester is 30 September 2025.
application deadline?,Applications must be submitted by 30 September 2025.
admission requirements,Applicants must have completed high school with minimum grades required for the chosen program.
Can you tell me tuition fees for local students?,"Tuition fees are RM 8,000 per semester for local students."
Can you tell me tuition fees for international students?,"Tuition fees are RM 15,000 per semester for international students."
Can you tell me scholarship eligibility?,Scholarships are available for students with CGPA ≥ 3.5 or strong extracurricular records.
office hours,"University offices are open Monday – Friday, 9 AM – 5 PM."
IT support contact,IT support is available via helpdesk@university.edu or call 03-1234567.
campus medical center hours,"The medical center is open Monday – Friday, 8 AM – 6 PM."
exam schedule,"Final exams are held in December and June, depending on your semester."
result release date,Results are published within 4 weeks after the exam period.
exam re-evaluation process,Students may apply for re-evaluation within 7 days after results are published.
Can you tell me student clubs?,"Students can join various clubs including sports, music, debate, and cultural clubs."
campus housing,"On-campus housing applications open in March and are allocated on a first-come, first-served basis."
cafeteria hours?,The cafeteria is open from 7 AM to 9 PM daily.
library hours?,The library is open 8 AM – 10 PM (Mon–Fri) and 9 AM – 6 PM (Sat–Sun).
Can you tell me when does the library open?,The library opens at 8 AM on weekdays and 9 AM on weekends.
when does the library close,The library closes at 10 PM on weekdays and 6 PM on weekends.
admission deadline,The admission deadline for the upcoming semester is 30 September 2025.
application deadline?,Applications must be submitted by 30 September 2025.
admission requirements,Applicants must have completed high school with minimum grades required for the chosen program.
Can you tell me tuition fees for local students?,"Tuition fees are RM 8,000 per semester for local students."
Can you tell me tuition fees for international students?,"Tuition fees are RM 15,000 per semester for international students."
Can you tell me scholarship eligibility?,Scholarships are available for students with CGPA ≥ 3.5 or strong extracurricular records.
office hours,"University offices are open Monday – Friday, 9 AM – 5 PM."
IT support contact?,IT support is available via helpdesk@university.edu or call 03-1234567.
campus medical center hours,"The medical center is open Monday – Friday, 8 AM – 6 PM."
exam schedule,"Final exams are held in December and June, depending on your semester."
result release date?,Results are published within 4 weeks after the exam period.
exam re-evaluation process?,Students may apply for re-evaluation within 7 days after results are published.
Can you tell me student clubs?,"Students can join various clubs including sports, music, debate, and cultural clubs."
Can you tell me campus housing?,"On-campus housing applications open in March and are allocated on a first-come, first-served basis."
cafeteria hours?,The cafeteria is open from 7 AM to 9 PM daily.
Can you tell me library hours?,The library is open 8 AM – 10 PM (Mon–Fri) and 9 AM – 6 PM (Sat–Sun).
when does the library open,The library opens at 8 AM on weekdays and 9 AM on weekends.
Can you tell me when does the library close?,The library closes at 10 PM on weekdays and 6 PM on weekends.
admission deadline?,The admission deadline for the upcoming semester is 30 September 2025.
application deadline,Applications must be submitted by 30 September 2025.
Can you tell me admission requirements?,Applicants must have completed high school with minimum grades required for the chosen program.
tuition fees for local students,"Tuition fees are RM 8,000 per semester for local students."
Can you tell me tuition fees for international students?,"Tuition fees are RM 15,000 per semester for international students."
